Online shop URL,Label,Domain length,Top domain length,Presence of prefix 'www' ,Number  of digits,Number  of letters,Number  of dots (.),Number  of hyphens (-),Presence of credit card payment,Presence of money back payment,Presence of cash on delivery payment,Presence of crypto currency,Presence of free contact emails,Presence of logo URL,SSL certificate issuer,SSL certificate expire date,Issuer organization,SSL certificate issuer organization list item,Indication of young domain ,Domain registration date,Presence of TrustPilot reviews,TrustPilot score,Presence of SiteJabber reviews,Presence in the standard Tranco list,Tranco List rank
https://www.knitwearonlienshop.com,fraudulent,26,3,1,0,29,2,0,1,1,1,0,0,1,E1,Oct 25 04:12:15 2023 GMT,Let's Encrypt,2,1,2023-07-27 04:53,0,,0,0,-1
https://nikinclothing.com,legitimate,17,3,0,0,21,1,0,1,1,0,0,2,1,R3,Oct 13 02:28:24 2023 GMT,Let's Encrypt,2,0,2017-02-01 23:41,1,3.9,0,0,-1
https://www.gardentoolhome.com,fraudulent,22,3,1,0,25,2,0,1,1,0,0,0,1,GTS CA 1P5,Oct  2 07:12:37 2023 GMT,Google Trust Services LLC,9,1,2023-07-03 00:00,0,,0,0,-1
https://www.chichomeitem.com,fraudulent,20,3,1,0,23,2,0,1,1,0,0,3,1,E1,Nov 17 09:35:46 2023 GMT,Let's Encrypt,2,1,2023-06-21 06:35,0,,0,0,-1
https://www.adventuregearup.com,fraudulent,23,3,1,0,26,2,0,1,1,0,0,0,1,E1,Oct  5 03:27:09 2023 GMT,Let's Encrypt,2,1,2023-07-07 00:00,0,,0,0,-1
https://sportfits.eu,legitimate,12,2,0,0,16,1,0,1,1,0,0,2,1,R3,Oct 21 10:12:10 2023 GMT,Let's Encrypt,2,2,Hidden,1,3.9,0,0,-1
https://www.tinneystoys.com,legitimate,19,3,1,0,28,2,0,1,1,0,0,0,1,GeoTrust Global TLS RSA4096 SHA256 2022 CA1,Oct 23 23:59:59 2023 GMT,DigiCert Inc,7,0,2014-05-13 16:16,1,4.8,0,0,-1
https://kalistara.lt,legitimate,12,2,0,0,16,1,0,1,0,0,0,0,0,R3,Oct  6 21:32:22 2023 GMT,Let's Encrypt,2,0,2015-01-30 00:00,0,-1,0,0,-1
https://www.allkindsoftools.com,fraudulent,23,3,1,0,26,2,0,1,1,0,0,0,1,GTS CA 1P5,Sep  3 04:22:33 2023 GMT,Google Trust Services LLC,9,1,2023-06-05 00:00,0,,0,0,-1
https://www.arlton.shop,fraudulent,15,4,1,0,18,2,0,1,1,0,0,3,1,GTS CA 1P5,Oct 29 11:30:40 2023 GMT,Google Trust Services LLC,9,0,None,0,,0,0,-1
https://www.ghingwala.shop,fraudulent,18,4,1,0,21,2,0,0,0,1,0,0,0,Cloudflare Inc ECC CA-3,Mar 16 23:59:59 2024 GMT,"Cloudflare, Inc.",1,0,None,0,,0,0,-1
